SN,title,color,imageUrl,price_usd,material,gender,brand,description,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,Womens Short Sleeve V Neck,black,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/ss_v_black_w_900x.jpg?v=1625575961,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
2,Womens Short Sleeve V Neck,white,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/IMG2_2523-white_44713d0d-5cc4-4cfc-9668-92c79266346d_900x.jpg?v=1625575954,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
3,Womens Short Sleeve V Neck,dark-grey,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/IMG2_2523-white_44713d0d-5cc4-4cfc-9668-92c79266346d_900x.jpg?v=1625575954,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
4,Womens Short Sleeve V Neck,froest-green,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/LifestylegreenV_900x.jpg?v=1625575941,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
5,Womens Short Sleeve V Neck,light-green,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/maglia-v-01-n_900x.jpg?v=1637557332,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
6,Womens Short Sleeve V Neck,princess-blue,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/maglia-v_900x.jpg?v=1636992091,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
7,Womens Short Sleeve V Neck,navy-blue,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/ss_v_navy_w_900x.jpg?v=1625575968,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
8,Womens Short Sleeve V Neck,dusk-blue,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/duskbluewomenVmodel_900x.jpg?v=1625575987,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
9,Womens Short Sleeve V Neck,sky-blue,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/skybluewomenVmodel_900x.jpg?v=1625575980,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
10,Womens Short Sleeve V Neck,burgendy,https://cdn.shopify.com/s/files/1/0038/1111/5123/products/w-burgundy-v-front_900x.jpg?v=1625576013,58.00,"100% pre-shrunk organic cotton, GOTS certified",women,The Classic T-shirt,"Made in the USA, Los Angeles; Luxury finishing, soft and breathable on skin; Color retention up to 100 washes; Shape retention engineering.",0,0,0,0,0,0,0,0,1
